# name: testlevel
size: 19,5
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 1,0 WallTile
t: 1,4 WallTile
t: 2,0 WallTile
t: 2,4 WallTile
t: 3,0 WallTile
t: 3,4 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,3 WallTile
t: 4,4 WallTile
t: 5,0 WallTile
t: 5,4 WallTile
t: 6,0 WallTile
t: 6,4 WallTile
t: 7,0 WallTile
t: 7,4 WallTile
t: 8,0 WallTile
t: 8,4 WallTile
t: 9,0 WallTile
t: 9,4 WallTile
t: 10,0 WallTile
t: 10,4 WallTile
t: 11,0 WallTile
t: 11,4 WallTile
t: 12,0 WallTile
t: 12,4 WallTile
t: 13,0 WallTile
t: 13,4 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,3 WallTile
t: 14,4 WallTile
t: 15,0 WallTile
t: 15,4 WallTile
t: 16,0 WallTile
t: 16,2 ExitTile
t: 16,4 WallTile
t: 17,0 WallTile
t: 17,4 WallTile
t: 18,0 WallTile
t: 18,1 WallTile
t: 18,2 WallTile
t: 18,3 WallTile
t: 18,4 WallTile
e: 2,2 Player
e: 8,3 Pusher[1;1;1]
e: 8,2 Pusher[1;1;1]
e: 8,1 Pusher[1;1;1]
