# name: testlevel
size: 17,9
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 1,0 WallTile
t: 1,1 WallTile
t: 1,5 WallTile
t: 1,6 WallTile
t: 1,7 WallTile
t: 1,8 WallTile
t: 2,0 WallTile
t: 2,1 WallTile
t: 2,3 ExitTile
t: 2,5 WallTile
t: 2,6 WallTile
t: 2,7 WallTile
t: 2,8 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,5 WallTile
t: 3,6 WallTile
t: 3,7 WallTile
t: 3,8 WallTile
t: 4,0 WallTile
t: 4,8 WallTile
t: 5,0 WallTile
t: 5,8 WallTile
t: 6,0 WallTile
t: 6,8 WallTile
t: 7,0 WallTile
t: 7,8 WallTile
t: 8,0 WallTile
t: 8,8 WallTile
t: 9,0 WallTile
t: 9,8 WallTile
t: 10,0 WallTile
t: 10,8 WallTile
t: 11,0 WallTile
t: 11,8 WallTile
t: 12,0 WallTile
t: 12,8 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,5 WallTile
t: 13,6 WallTile
t: 13,7 WallTile
t: 13,8 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,5 WallTile
t: 14,6 WallTile
t: 14,7 WallTile
t: 14,8 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,5 WallTile
t: 15,6 WallTile
t: 15,7 WallTile
t: 15,8 WallTile
t: 16,0 WallTile
t: 16,1 WallTile
t: 16,2 WallTile
t: 16,3 WallTile
t: 16,4 WallTile
t: 16,5 WallTile
t: 16,6 WallTile
t: 16,7 WallTile
t: 16,8 WallTile
e: 14,3 Player
e: 4,2 Pusher[1,1,1,1]
e: 6,1 Pusher[1,1,1,1,1]
e: 7,4 Pusher[1,1]
e: 8,2 Pusher[1,1]
e: 8,4 Pusher[1,1,1,1]
e: 9,4 Pusher[1,1]
e: 10,1 Pusher[1,1,1,1,1]
e: 12,2 Pusher[1,1,1,1]
