# name: testlevel
size: 11,15
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 0,13 WallTile
t: 0,14 WallTile
t: 1,0 WallTile
t: 1,1 WallTile
t: 1,2 WallTile
t: 1,3 WallTile
t: 1,4 WallTile
t: 1,9 WallTile
t: 1,10 WallTile
t: 1,11 WallTile
t: 1,12 WallTile
t: 1,13 WallTile
t: 1,14 WallTile
t: 2,0 WallTile
t: 2,1 WallTile
t: 2,2 WallTile
t: 2,3 WallTile
t: 2,4 WallTile
t: 2,11 WallTile
t: 2,12 WallTile
t: 2,13 WallTile
t: 2,14 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,2 WallTile
t: 3,4 WallTile
t: 3,13 WallTile
t: 3,14 WallTile
t: 4,0 WallTile
t: 4,4 WallTile
t: 4,14 WallTile
t: 5,0 WallTile
t: 5,2 ExitTile
t: 5,7 WallTile
t: 5,14 WallTile
t: 6,0 WallTile
t: 6,4 WallTile
t: 6,14 WallTile
t: 7,0 WallTile
t: 7,1 WallTile
t: 7,2 WallTile
t: 7,4 WallTile
t: 7,13 WallTile
t: 7,14 WallTile
t: 8,0 WallTile
t: 8,1 WallTile
t: 8,2 WallTile
t: 8,3 WallTile
t: 8,4 WallTile
t: 8,11 WallTile
t: 8,12 WallTile
t: 8,13 WallTile
t: 8,14 WallTile
t: 9,0 WallTile
t: 9,1 WallTile
t: 9,2 WallTile
t: 9,3 WallTile
t: 9,4 WallTile
t: 9,9 WallTile
t: 9,10 WallTile
t: 9,11 WallTile
t: 9,12 WallTile
t: 9,13 WallTile
t: 9,14 WallTile
t: 10,0 WallTile
t: 10,1 WallTile
t: 10,2 WallTile
t: 10,3 WallTile
t: 10,4 WallTile
t: 10,5 WallTile
t: 10,6 WallTile
t: 10,7 WallTile
t: 10,8 WallTile
t: 10,9 WallTile
t: 10,10 WallTile
t: 10,11 WallTile
t: 10,12 WallTile
t: 10,13 WallTile
t: 10,14 WallTile
e: 4,5 Pusher[1;1;1]
e: 2,6 Rotator[0,1,0;1,1,0;0,1,0]
e: 3,8 Rotator[0,1,0;1,1,0;0,0,0]
e: 8,6 Rotator[0,1,0;1,1,0;0,1,0]
e: 7,8 Rotator[0,0,0;1,1,0;0,1,0]
e: 6,9 Rotator[0,1,0;0,1,1;0,0,0]
e: 4,11 Rotator[0,0,0;1,1,0;0,1,0]
e: 5,10 Player
