# name: testlevel
size: 20,13
t: 0,0 WallTile
t: 0,1 WallTile
t: 0,2 WallTile
t: 0,3 WallTile
t: 0,4 WallTile
t: 0,5 WallTile
t: 0,6 WallTile
t: 0,7 WallTile
t: 0,8 WallTile
t: 0,9 WallTile
t: 0,10 WallTile
t: 0,11 WallTile
t: 0,12 WallTile
t: 1,0 WallTile
t: 1,1 WallTile
t: 1,2 WallTile
t: 1,3 WallTile
t: 1,4 WallTile
t: 1,8 WallTile
t: 1,9 WallTile
t: 1,10 WallTile
t: 1,11 WallTile
t: 1,12 WallTile
t: 2,0 WallTile
t: 2,1 WallTile
t: 2,2 WallTile
t: 2,3 WallTile
t: 2,4 WallTile
t: 2,6 ExitTile
t: 2,8 WallTile
t: 2,9 WallTile
t: 2,10 WallTile
t: 2,11 WallTile
t: 2,12 WallTile
t: 3,0 WallTile
t: 3,1 WallTile
t: 3,2 WallTile
t: 3,3 WallTile
t: 3,4 WallTile
t: 3,8 WallTile
t: 3,9 WallTile
t: 3,10 WallTile
t: 3,11 WallTile
t: 3,12 WallTile
t: 4,0 WallTile
t: 4,1 WallTile
t: 4,2 WallTile
t: 4,3 WallTile
t: 4,4 WallTile
t: 4,6 WallTile
t: 4,8 WallTile
t: 4,9 WallTile
t: 4,10 WallTile
t: 4,11 WallTile
t: 4,12 WallTile
t: 5,0 WallTile
t: 5,1 WallTile
t: 5,2 WallTile
t: 5,3 WallTile
t: 5,4 WallTile
t: 5,5 WaterTile
t: 5,6 WaterTile
t: 5,7 WaterTile
t: 5,8 WallTile
t: 5,9 WallTile
t: 5,10 WallTile
t: 5,11 WallTile
t: 5,12 WallTile
t: 6,0 WallTile
t: 6,1 WallTile
t: 6,2 WallTile
t: 6,3 WallTile
t: 6,4 WallTile
t: 6,5 WaterTile
t: 6,6 WaterTile
t: 6,7 WaterTile
t: 6,8 WallTile
t: 6,9 WallTile
t: 6,10 WallTile
t: 6,11 WallTile
t: 6,12 WallTile
t: 7,0 WallTile
t: 7,1 WallTile
t: 7,6 WaterTile
t: 7,11 WallTile
t: 7,12 WallTile
t: 8,0 WallTile
t: 8,12 WallTile
t: 9,0 WallTile
t: 9,5 WallTile
t: 9,7 WallTile
t: 9,12 WallTile
t: 10,0 WallTile
t: 10,4 WaterTile
t: 10,5 WallTile
t: 10,7 WallTile
t: 10,8 WaterTile
t: 10,9 WaterTile
t: 10,12 WallTile
t: 11,0 WallTile
t: 11,12 WallTile
t: 12,0 WallTile
t: 12,1 WallTile
t: 12,2 WallTile
t: 12,3 WallTile
t: 12,9 WallTile
t: 12,10 WallTile
t: 12,11 WallTile
t: 12,12 WallTile
t: 13,0 WallTile
t: 13,1 WallTile
t: 13,2 WallTile
t: 13,3 WallTile
t: 13,9 WallTile
t: 13,10 WallTile
t: 13,11 WallTile
t: 13,12 WallTile
t: 14,0 WallTile
t: 14,1 WallTile
t: 14,2 WallTile
t: 14,3 WallTile
t: 14,9 WallTile
t: 14,10 WallTile
t: 14,11 WallTile
t: 14,12 WallTile
t: 15,0 WallTile
t: 15,1 WallTile
t: 15,2 WallTile
t: 15,3 WallTile
t: 15,9 WallTile
t: 15,10 WallTile
t: 15,11 WallTile
t: 15,12 WallTile
t: 16,0 WallTile
t: 16,1 WallTile
t: 16,2 WallTile
t: 16,3 WallTile
t: 16,9 WallTile
t: 16,10 WallTile
t: 16,11 WallTile
t: 16,12 WallTile
t: 17,0 WallTile
t: 17,1 WallTile
t: 17,2 WallTile
t: 17,3 WallTile
t: 17,4 WallTile
t: 17,8 WallTile
t: 17,9 WallTile
t: 17,10 WallTile
t: 17,11 WallTile
t: 17,12 WallTile
t: 18,0 WallTile
t: 18,1 WallTile
t: 18,2 WallTile
t: 18,3 WallTile
t: 18,4 WallTile
t: 18,8 WallTile
t: 18,9 WallTile
t: 18,10 WallTile
t: 18,11 WallTile
t: 18,12 WallTile
t: 19,0 WallTile
t: 19,1 WallTile
t: 19,2 WallTile
t: 19,3 WallTile
t: 19,4 WallTile
t: 19,5 WallTile
t: 19,6 WallTile
t: 19,7 WallTile
t: 19,8 WallTile
t: 19,9 WallTile
t: 19,10 WallTile
t: 19,11 WallTile
t: 19,12 WallTile
e: 8,2 Pusher[1,1,1,1]
e: 9,6 Pusher[1]
e: 11,5 Pusher[1,1,1]
e: 12,6 Pusher[1;1;1]
e: 15,5 Pusher[1,1]
e: 17,6 Player
e: 8,6 Pusher[1,1,1,1]
